,user_name,user_location,user_description,user_verified,date,text,hashtags,source
10,ברוך,🇷🇴,je remplissais mes yeux de cette floraison charnelle ꙳𓃖 🇦🇹,False,2022-11-24 11:30:27+00:00,"@presentcorrect and now in candle form, thanks to ikea: https://t.co/zaCt5ZOOEW https://t.co/a82lUlrcyN",[None],Twitter for iPhone
11,Croydon Freegle,"Croydon, London","Don't throw it away, give it away",False,2022-11-24 11:30:11+00:00,"OFFER: Mirror doors ikea (Coulsdon, CR5) https://t.co/CKWbz0mcIR https://t.co/ZEseM40y50",[None],Freegle
12,StopMaskingKids,Reality,"Lifelong feminist & Democrat. Old enough to remember when the left was actually liberal and cared about protecting women & children. 

#StopMaskingKids",False,2022-11-24 11:29:51+00:00,@jasmith_yorku How long did it take you to plan this tweet?  And did you drive to ikea just for this?,[None],Twitter Web App
13,سامية,,24 | Not serious,False,2022-11-24 11:28:17+00:00,Ikea stresses me out,[None],Twitter for iPhone
14,sid🌼,svt ateez bts nct en-,23 🌼 svteez.,False,2022-11-24 11:27:35+00:00,omg we went last july and this was my fave ikea bed room display too 🫶🏼 https://t.co/K5NnlYh1Of https://t.co/akYZlA7sM2,[None],Twitter for iPhone
15,Nerdpanda,,politican,False,2022-11-24 11:27:11+00:00,Just minted ! 🌈 @_BrBr_Bruna @Eth_Ikea @Reincarna1Shins @BlueVolans @mustxco2470 @Theonlypopescu @Chano029 @johnnyboss21 @10510Clonex @thetulipartist @mdmsfmfnfmfnfm @FreetreeNfts @SM97_Web3 @RustyRaven96 https://t.co/ysYywbNxuv,[None],Twitter Web App
16,Carlos Tweets,Fail-ippines!,I am a Fun-Loving Person but also a Critical Thinker. Non-Liberal. Untamed. A Neat Freak. Keeps having Misadventures in the City. Cuddly person. Tech Savvy...,False,2022-11-24 11:25:24+00:00,"@Donald_H_Marks Well, this is what an IKEA employee looks like if they snap.

https://t.co/vF6e76kiGA",[None],Twitter Web App
17,Chris Jamieson🇺🇦,London,"Webishdeveloper...Chumoftheplanet...
None of the gear, vague idea.
@mogwaay@oldbytes.space
https://t.co/P4pwas0UNW
https://t.co/3GZi1Mrbyn",False,2022-11-24 11:23:58+00:00,@ARetroNerd Really like the wall hanging of the consoles - I'm thinking of doing something similar using those IKEA spice shelves you can get - are those 3d printed brackets?,[None],Twitter Web App
18,Carlos Tweets,Fail-ippines!,I am a Fun-Loving Person but also a Critical Thinker. Non-Liberal. Untamed. A Neat Freak. Keeps having Misadventures in the City. Cuddly person. Tech Savvy...,False,2022-11-24 11:22:51+00:00,"@DogsRulex1000 This is what an IKEA employee looks like when they snap.

https://t.co/vF6e76kiGA",[None],Twitter Web App
19,Bookcases and Shelving,,Bookcases and Shelving. Selected Items. Product Information. Daily Updated (eBay Links),False,2022-11-24 11:21:33+00:00,"IKEA KALLAX Shelf Unit Black-brown 30 3/8x16 1/2"" 403.118.73 https://t.co/jlqK935xJX eBay https://t.co/OnC8U58nNy",[None],dlvr.it
20,zara,any • 18 • irati fan acc,"head be genius, dick game be the meanest•amy lover",False,2022-11-24 11:17:36+00:00,HELP DID IKEA JUST GAVE ME DABLOONS,[None],Twitter for iPhone
21,Kyonkichi,,so have you got the guts?,False,2022-11-24 11:16:16+00:00,"I mean, I was the most childish one; I asked for legos for secret santa’s when everyone asking for tudung, sketchers, IKEA racks &amp; so on. 🥹

Pastu, I pun added la maxi dresses to fit the situation.👀",[None],Twitter for iPhone
22,˚₊♡ Mommy Kitty ♡₊˚,,I play games and stream 😋 || Mod for some Jimmys || She/Her or They/Them || 24 || Business Inquiries Only: merkittybizzle@gmail.com,False,2022-11-24 11:15:03+00:00,Got my first dabloons from ikea lmao,[None],Twitter for iPhone
23,Hitendra R. Patil,"New York, USA","Top 100 Influencer in Accounting 🔶 SaaS | FinTech Executive Leader 🔶 Author: Client Accounting Services, Acountaneur 🔶 Speaker 🔶 Customer Success",False,2022-11-24 11:10:56+00:00,INGKA Group (IKEA) adopts Celonis to create ‘the perfect order’ https://t.co/DsczILThMO via @diginomica https://t.co/KbyyWMfHcf,[None],IFTTT
24,danjidogs,"Tessenderlo, België","35yo from Belgium. love nature, sports, and most of all my 2  dogs (Barry and Darco). I stream gaming and also Just chatting; gnrl topics, world of warcraft, ..",False,2022-11-24 11:10:39+00:00,"Building an Ikea closet with a Flatcoated, means integrating the Flatcoated. #don'tmove#i'mfinehere https://t.co/VkXyhqyXTj",[['don']],Instagram
25,𝘔𝘰𝘶𝘭𝘥𝘦𝘺 🍬,,"CW: One Piece | Evertonian | 19 | T5: One Piece, AOT, Re:Zero, Devilman Crybaby, Konosuba | I believe in Rem and Nami Supremacy | @TheShotOTMan",False,2022-11-24 11:09:55+00:00,@relay7k @_DonttMindMe ikea employee ass fit 😭,[None],Twitter for iPhone
26,Workspace Tours,,We feature WFH workspaces & home office setups from creators and makers around the world. Curated by @ilyailford,False,2022-11-24 11:08:58+00:00,"“I wanted a workspace tailored to me”.

Check out this L-Shaped #Battlestation in Nebraska made by Zachary Duty — a photographer &amp; HR specialist.

He’s a big fan of black, so he wanted a black aura for the area — a beautiful view of Omaha is included.

👉 https://t.co/mT2nZRa4yd https://t.co/pJ6fu31vp0",[['Battlestation']],Twitter Web App
27,Jake Cross,,"The silent majority.

Oh dear. How sad. Never mind...

A conservative, libertarian.",False,2022-11-24 11:08:34+00:00,"@jasmith_yorku How dare you endanger people. 

I dress like this when I go into IKEA.

Not for my safety (I'm a crazed risk taker that wallows in filthy air), I do it to protect others.

Because I'm awesome. https://t.co/Tf2Y7Efo6N",[None],Twitter for Android
28,Lindy/Ezra🖤fever dream🖤,any pronouns✨bi✨17,disc:ezra#4916✨infp✨appollo kid✨in to many fandoms✨,False,2022-11-24 11:06:40+00:00,Idk if anyone here is on dabloon tiktok but i just got 50 dabloons from the ikea tiktok acc,[None],Twitter for Android
29,Rise Artists Studio,Republic of the Philippines,"#RiseArtistsStudio is the talent management arm of ABS-CBN Films, in collaboration with Star Magic and Star Hunt. ✨",False,2022-11-24 11:05:56+00:00,Supported by IKEA Philippines,[None],Twitter for iPhone
30,Fractal Hacking 🏳️‍⚧️,"Orlando, FL",Fractal. Enby. Objectum Sexual for Monument Valley. I make/play/do shit. Absolutely unhinged. CS@UCF. I draw. I make music. I love Indie Games ♥. TV14 🥰🏛🌄,False,2022-11-24 11:05:38+00:00,@monosynth Wait this is an ikea product? What's the article number for that lamp i want,[None],Twitter for Android
31,ۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗHanhan | Cursed VTuber,In a floppy disk,"💻Independent vtuber!
🎮Gaming & art!
💬Now also a vtuber interviewer???
❤️Chaotic & cursed content
🎨Draws with a mouse!
🧀Self-made model",False,2022-11-24 11:05:29+00:00,"I used to think collecting Starbucks cups are a bit stupid

I'm taking all of my words back after realizing I collect a suspicious amount of bread clips, dice, boxes, pens, cables, broken stuff, random trinkets, dead coral, IKEA pencils, coins, and rocks out of all things...",[None],Twitter Web App
32,jenny ‧₊ ✜˚.‧,22 · she / her,♡ loving yeonjun is my only personality trait,False,2022-11-24 11:03:51+00:00,i got dabloons from the official ikea account omg,[None],Twitter for iPhone
33,krumi || rhd and robux coms open (2/5),he/him,dm for rhd and robux coms :D!,False,2022-11-24 11:01:53+00:00,I finally saw the debut after a busy schedule and. Ikea sharks #inkpaintrose #painrose https://t.co/crKEwzsJzh,"[['inkpaintrose', 'painrose']]",Twitter for Android
34,𝔐𝔞𝔵 𝔅𝔩𝔬𝔬𝔪,"Hackney, London",I used to be in a band,False,2022-11-24 10:59:57+00:00,"How wrong they were. The big wigs at IKEA have NO understanding of how much Londoners hate leaving their postcode if they don't absolutely have to. I will never go to Wembley IKEA, never never never.",[None],Twitter Web App
35,𝔐𝔞𝔵 𝔅𝔩𝔬𝔬𝔪,"Hackney, London",I used to be in a band,False,2022-11-24 10:59:56+00:00,"When those big wigs at IKEA closed the Tottenham branch, they probably sat in their big office in Stockholm (I assume) and thought, hey, there's an IKEA in Wembley, why do we have two IKEAs within only half an hour of each other? That doesn't make sense, let's just close one.",[None],Twitter Web App
36,Evelyn Luu,your heart 🫦,just a big sister the size of a little sister teaching the dog the next stage of technological advancement (starting a fire),False,2022-11-24 10:59:54+00:00,"Everyone mysteriously obtains a giant ikea, grocery, or sleeping bag for free and uses it to carry their laundry. The laundromat is also usually a block away or closer so they disappear immediately. https://t.co/sJTxsCJsH0",[None],Twitter for iPhone
37,aleyha🦑,(she/they),"21 / betray - backstab - bamboozle /
i have pts dependence, whattaboutit?",False,2022-11-24 10:57:24+00:00,"sometimes, the ikea shark visits my mind

this is one of those times",[None],Twitter for Android
38,The WEEE Centre,"Nairobi, Kenya","ISO Certified Company (ISO 14001:2015 & ISO 9001:2015) Managing E-waste for a safe environment. SME of the year 2019 winner.
#ewate #recycling #circularEconomy",False,2022-11-24 10:55:58+00:00,"#Session5 Investments in Circular solutions and Start-up Support
Panel Discussion by 
Vera Wachira, Investment Associate, DOB Equity, Netherlands
Patrick Obonyo, IKEA Foundation, Netherlands
Mark Carey, Sinapis Group, UK 
#DayTwo #EwasteConference https://t.co/MePXugI53R",[['Session5']],Buffer
39,Bravura Dolly,"Durham, England",Every #Blythe girl & their clothes that I make are all hand crafted with love. Check out the Etsy Shop for #handmade dolly clothes and dolls.,False,2022-11-24 10:55:44+00:00,How do I get out of here - #IKEA #blog   oth107  https://t.co/j8hqjsBqqx,"[['IKEA', 'blog']]",SocialPilot.co
40,Vale of White Horse Freegle,Vale of the White Horse,"Keeping reusable items out of the waste stream. Don't throw it away, give it away with Freegle",False,2022-11-24 10:55:36+00:00,OFFER: IKEA Double sultan Mattress and base (good condition) (Rokemarsh OX10) https://t.co/gLn19Sy4ww https://t.co/U7zqU6jXZf,[None],Freegle
41,"Shepton, Wells and Street Freegle","Shepton, Wells and Street","Don't throw it away, give it away in Shepton, Wells and Street",False,2022-11-24 10:55:17+00:00,OFFER: 28 cm Ikea bell lampshade (BA5 Wells) https://t.co/9crjw6bUDZ https://t.co/UzL5KssIFv,[None],Freegle
42,abudhabidoe,"Abu Dhabi, UAE",الحساب الرسمي لدائرة الطاقة في أبوظبي The official account of Department of Energy in Abu Dhabi,True,2022-11-24 10:54:54+00:00,"Eng. Ahmed Al Falasi, Energy Efficiency Sector Executive Directorate / Acting at the #DoE, and a team from the Energy Efficiency Sector took part in the opening of the “Sustainable living Shop” at IKEA. https://t.co/N4p6lpIZPQ",[['DoE']],Twitter for iPhone
43,*ੈ❀ εїз ❀*ੈ,,yes welcome to my ranting diary,False,2022-11-24 10:54:44+00:00,cant wait to buy the soft toys at ikea,[None],Twitter for iPhone
44,Maurice,,"▼ Im addicted to Tattoos, Mountains and the Gym. ▼",False,2022-11-24 10:54:23+00:00,Eating Swedish meatballs at ikea will always be a tradition 😅,[None],Twitter for iPhone
45, 𝕄𝕚𝕜𝕖𝟞_ℤ𝕠𝕦𝕝𝕠𝕦 ©,,Les Nations Unies sont à la résolution des conflits ce que l’homéopathie est au cancer.,False,2022-11-24 10:50:19+00:00,@Pouah_Un_Gueux_ @ObelixNivelles @Ol74Olivier @Jacques_Moriaux @vaesen_roland @zemetre @klachkop @DonyPJ1 @ruedelaloi Boycott #Ikea 😂,[['Ikea']],Twitter for iPhone
46,sweedieonaweedie,est.86,"Trader (+8yrs), 
market observations,  https://t.co/Om8Au33pfM spatial planning,
former heavymetal heavydoser turned producer,
societal questions,
views personal",False,2022-11-24 10:48:57+00:00,"@Anders1x21 @UkraineWatch7 @IuliiaMendel @AporiaConner @ChangeOrgRus ""No Ikea for You! *collects their armchairs*",[None],Twitter for Android
47,Big Lew,"Sugar Land, TX","Lewis Edward Watts, author of Notland and Stories Without Love, born September 12th, 1985. I'm into shonen anime, PC gaming, literature, and baking.",False,2022-11-24 10:48:51+00:00,@Nervex_Ogryn I like the one with the fucked up Ikea,[None],Twitter Web App
48,Menna منّة,Cairo/Jeddah ,"95% of the time my brain is thinking meh. The other 5%, I’m reporting news. Email: menna.a.alaa at gmail dot com .Views never represent my employer.",False,2022-11-24 10:46:54+00:00,@soloisey I totally understand why they want the ikea milk frother 😂,[None],Twitter for iPhone
49,Goldie (taylors version) LA 8/3,Any/all | minor ,"it’s me, hi i’m the problem it’s me. | she stan | TPWK",False,2022-11-24 10:46:23+00:00,i think ikea just gave me dabloons? i’m so confused,[None],Twitter for iPhone
